Site,Type,NO3,SO2,P,NO2,NH3,NTU,Basin_Fill,Veg,Na,H2O_Temp,pH,Cond,TDS
Abernathy ,urban,0.3,11,0.08,0.031,0.21,27,100,75,84.1,28,8.17,171.9,118
Buster_Long,urban,0.2,11,2.5,0.007,0.03,22.1,100,15,83.7,24.1,8.51,169.4,117.3
C_Andrews,urban,0.3,5,0.14,0.017,0.27,16.6,100,15,114,25.9,7.9,250,186
Caudle,urban,0.1,9,0.22,0.013,0.03,28.2,100,20,172,26.2,8.65,422,227
Clapp,urban,2.4,11,2.5,0.002,0.03,3.13,100,70,81.6,25.4,6.91,174.9,112.2
Dupree,urban,0.3,11,2.5,0.004,0.15,42.4,100,30,113,23.4,7.35,233,163
E_Givens,urban,0.7,11,2.5,0.004,0.06,30.9,100,0,68.9,26.7,7.3,140.3,99.3
Earl_Crow,urban,2.5,6,2.5,0.006,0.08,31.9,100,5,89.9,28.5,7.44,183,124.1
Guy,urban,1.5,17,2.5,0.002,0.03,1.92,100,5,98.9,27.7,9.26,194.1,131.3
Hboth,urban,0.3,15,0.07,0.001,0.08,33.2,70,5,112,32.7,8.42,234,163
Hoel,urban,0.3,19,2.5,0.008,0.09,43.8,100,0,85.6,25.2,8.63,157.9,119.6
J_Stevens,urban,0.9,6,2.5,0.008,0.06,39,100,5,65.3,24.1,7.62,131.8,91.7
J_Jennings,urban,0.3,8,0.24,0.01,0.18,99.7,100,5,77.7,25.2,8.18,156.6,109.2
Leftwich,urban,2.6,11,2.5,0.007,0.02,6.87,100,10,128,23.9,8.03,256,179
Leroy_Elmore,urban,2.9,18,2.5,0.013,0.04,25,100,5,98.3,23.2,8.16,193.2,135.5
Lobo,urban,1,8,0.19,0.028,0.04,34,100,1,83.8,26.5,8.7,167,117
Mahon,urban,1.5,5,0.29,0.017,0.13,38.9,40,75,78.4,30.2,7.92,157.5,110.1
Maxey,urban,1.6,15,2.5,0.015,0.15,20.6,100,5,70.5,24.2,8.52,143.5,99.8
McAlister,urban,0.3,6,0.07,0.004,0.04,20.9,100,25,105,25.7,8.35,209,147
McCullough,urban,0.9,11,2.5,0.004,0.15,26.4,100,0,111,23.9,7.89,222,156
Muleshoe_Park,urban,0.1,70,2.5,0.004,0.02,6.08,80,10,220,29.4,8.52,517,310
OW_Ribble,urban,1.2,12,2.5,0.009,0.14,82.6,100,2,76.8,26.9,8.46,156.7,108.7
Remington,urban,0.3,13,0.61,0.01,0.06,38.5,98,2,90.5,25.1,8.58,181.2,181.2
Travis_Trussel,urban,2.9,10,2.5,0.018,0.14,34,100,35,71.4,25.7,8.17,143,101.1
SE_Amarillo,urban,2,55,2.5,0.002,0.04,9.48,100,80,346,24.4,7.37,693,483
SE_Canyon,urban,0.8,34,0.83,0.005,0.19,22.6,100,65,122,25.7,7.9,234,170
Tahoka_far_spring,salina,4.9,70,2.5,0.013,0.03,4.14,100,100,0,23.9,7.63,1999,0
Tahoka_cow_pond,salina,3.5,70,2.5,0.008,0.02,2.13,80,40,0,26.3,8.36,1999,0
Tahoka_spring_2,salina,5.5,70,2.5,0.002,0.02,6.59,45,100,0,24.3,7.38,1999,0
Mackenzie_spring,salina,1.3,70,0.31,0.014,0.01,5.92,75,50,0,26.8,8.05,1999,0
Mackenzie_cow_pond,salina,2,70,0.34,0.022,0.13,3.89,75,50,0,25.5,8.25,1999,0
Rich,fsalina,0.3,70,1.38,0.011,0.04,14,55,10,6.18,2.78,7.82,8.82,6.18
Bean,salina,0.4,70,0.64,0.006,0.04,25.6,100,100,999,30.8,7.94,1999,999
Goose,fsalina,0.6,70,0.04,0.01,0.01,3.46,100,20,999,27.9,8.37,1999,999
Mound,salina,1.7,70,2.2,0.002,0.01,5.63,100,65,0,26.3,7.48,0,0
Paul,fsalina,1,70,0.12,0.07,0.01,3.01,100,1,999,33.9,8.51,1999,999
WhiteA,fsalina,1.4,70,0.09,0.05,0.01,4.89,60,0,999,24,8.46,1999,999
WhiteB,fsalina,1.5,18,0.58,0.06,0.01,3.15,60,0,341,26.2,8.17,704,483
B1  ,playa,0.5,2,2.5,0.002,0.03,5.34,100,100,204,25.5,7.28,405,284
B2  ,playa,0.3,3,2.5,0.011,0.29,42.2,100,100,185,25.6,6.99,378,263
Castro1,playa,0.3,2,0.74,0.002,0.5,1000,100,100,118,24.2,7.63,243,168
Cotton_Center    ,playa,9.7,28,2.5,0.015,0.05,11.7,100,100,88.3,19.1,7.5,178,124
Dbirk,playa,0.3,2,2.5,0.001,0.03,5.71,100,100,156,24.3,6.97,310,218
Floyd1 ,playa,11.3,4,2.5,0.013,0.5,459,100,100,146,22.9,8.66,332,237
Floyd2,playa,8.8,70,2.5,0.012,0.05,22.7,100,100,96.4,23.1,7.54,221,154
Mur,playa,0.3,2,0.88,0.002,0.27,150,10,65,98.2,32.7,8.36,195.7,134.9
Range_Barn,playa,4.2,5,2.5,0.04,0.25,136,100,100,129,30,7.36,258,179
S1,playa,1.8,5,2.5,0.006,0.05,3.62,100,80,147,25.3,14,342,210
S2,playa,1.4,9,2.5,0.004,0.03,11,100,85,103,25.6,7.18,209,145
S3,playa,0.6,2,2.58,0.002,0.02,4.02,100,75,131,27.1,7.74,274,186
Wten,playa,0.3,2,1.31,0.002,0.5,664,100,90,82.9,26.8,7.69,169.6,116.3
