Site,Type,NO3,SO2,P,NO2,NTU,NH3,Basin_Fill,Veg,Na,H2O_Temp,pH,Cond,TDS
Bean,salina,0.146128036,1.851258349,0.214843848,0.002597981,1.424881637,0.017033339,90,90,3,1.50242712,0.951337519,3.301029996,3
Goose,fsalina,0.204119983,1.851258349,0.017033339,0.004321374,0.649334859,0.004321374,90,26.56505118,3,1.460897843,0.971739591,3.301029996,3
Paul,fsalina,0.301029996,1.851258349,0.049218023,0.029383778,0.603144373,0.004321374,90,5.739170477,3,1.542825427,0.978180517,3.301029996,3
White ,fsalina,0.389075626,1.565005975,0.118041793,0.023247582,0.694081696,0.004321374,50.76847952,0,2.767013053,1.416254457,0.969130236,3.074609557,2.842422681
B1  ,playa,0.176091259,0.477121255,0.544068044,0.000867722,0.802089258,0.012837225,90,90,2.311753861,1.423245874,0.918030337,2.608526034,2.45484486
B2  ,playa,0.113943352,0.602059991,0.544068044,0.004751156,1.635483747,0.11058971,90,90,2.269512944,1.424881637,0.902546779,2.57863921,2.421603927
Castro1,playa,0.113943352,0.477121255,0.240549248,0.000867722,3.000434077,0.176091259,90,90,2.075546961,1.401400541,0.936010796,2.387389826,2.227886705
Cotton_Center    ,playa,1.029383778,1.462397998,0.544068044,0.006466042,1.103803721,0.021189299,90,90,1.950851459,1.303196057,0.929418926,2.252853031,2.096910013
Dbirk,playa,0.113943352,0.477121255,0.544068044,0.000434077,0.82672252,0.012837225,90,90,2.195899652,1.403120521,0.901458321,2.492760389,2.340444115
Floyd1 ,playa,1.089905111,0.698970004,0.544068044,0.005609445,2.662757832,0.176091259,90,90,2.167317335,1.378397901,0.984977126,2.522444234,2.376576957
Floyd2,playa,0.991226076,1.851258349,0.544068044,0.005180513,1.374748346,0.021189299,90,90,1.988558957,1.382017043,0.931457871,2.346352974,2.190331698
Mur,playa,0.113943352,0.477121255,0.274157849,0.000867722,2.178976947,0.103803721,18.43494882,53.72880156,1.996511672,1.527629901,0.971275849,2.29380436,2.133219457
Range_Barn,playa,0.716003344,0.77815125,0.544068044,0.017033339,2.136720567,0.096910013,90,90,2.113943352,1.491361694,0.922206277,2.413299764,2.255272505
S1,playa,0.447158031,0.77815125,0.544068044,0.002597981,0.664641976,0.021189299,90,63.43494882,2.170261715,1.419955748,1.176091259,2.53529412,2.324282455
S2,playa,0.380211242,1,0.544068044,0.001733713,1.079181246,0.012837225,90,67.213502,2.017033339,1.424881637,0.912753304,2.322219295,2.164352856
S3,playa,0.204119983,0.477121255,0.553883027,0.000867722,0.700703717,0.008600172,90,60,2.120573931,1.44870632,0.941511433,2.439332694,2.271841607
Wten,playa,0.113943352,0.477121255,0.36361198,0.000867722,2.822821645,0.176091259,90,71.56505118,1.923761961,1.444044796,0.939019776,2.231979027,2.069298012
