Site,Type,NO3,SO2,P,NO2,NTU,Basin_Fill,Veg,Na,H2O_Temp,pH,Cond
McKenzie Cow Pond,salina,0.419424545,1.851258349,0.122188047,0.007744425,0.764707477,60,45,0,1.433645335,0.961395156,3.301029996
Mound,salina,0.431363764,1.851258349,0.505149978,0.000867722,0.821513528,90,53.72880156,0,1.436162647,0.928395852,0
Rich,fsalina,0.113943352,1.851258349,0.376576957,0.004751156,1.176091259,47.86958524,18.43494882,0.856124444,0.5774918,0.945468585,0.992111488
Bean,salina,0.146128036,1.851258349,0.214843848,0.002597981,1.424881637,90,90,3,1.50242712,0.951337519,3.301029996
Goose,fsalina,0.204119983,1.851258349,0.017033339,0.004321374,0.649334859,90,26.56505118,3,1.460897843,0.971739591,3.301029996
Paul,fsalina,0.301029996,1.851258349,0.049218023,0.029383778,0.603144373,90,5.739170477,3,1.542825427,0.978180517,3.301029996
White ,fsalina,0.389075626,1.565005975,0.118041793,0.023247582,0.694081696,50.76847952,0,2.767013053,1.416254457,0.969130236,3.074609557
B1  ,playa,0.176091259,0.477121255,0.544068044,0.000867722,0.802089258,90,90,2.311753861,1.423245874,0.918030337,2.608526034
B2  ,playa,0.113943352,0.602059991,0.544068044,0.004751156,1.635483747,90,90,2.269512944,1.424881637,0.902546779,2.57863921
Castro1,playa,0.113943352,0.477121255,0.240549248,0.000867722,3.000434077,90,90,2.075546961,1.401400541,0.936010796,2.387389826
Cotton_Center    ,playa,1.029383778,1.462397998,0.544068044,0.006466042,1.103803721,90,90,1.950851459,1.303196057,0.929418926,2.252853031
Dbirk,playa,0.113943352,0.477121255,0.544068044,0.000434077,0.82672252,90,90,2.195899652,1.403120521,0.901458321,2.492760389
Floyd1 ,playa,1.089905111,0.698970004,0.544068044,0.005609445,2.662757832,90,90,2.167317335,1.378397901,0.984977126,2.522444234
Floyd2,playa,0.991226076,1.851258349,0.544068044,0.005180513,1.374748346,90,90,1.988558957,1.382017043,0.931457871,2.346352974
Mur,playa,0.113943352,0.477121255,0.274157849,0.000867722,2.178976947,18.43494882,53.72880156,1.996511672,1.527629901,0.971275849,2.29380436
Range_Barn,playa,0.716003344,0.77815125,0.544068044,0.017033339,2.136720567,90,90,2.113943352,1.491361694,0.922206277,2.413299764
S1,playa,0.447158031,0.77815125,0.544068044,0.002597981,0.664641976,90,63.43494882,2.170261715,1.419955748,1.176091259,2.53529412
S2,playa,0.380211242,1,0.544068044,0.001733713,1.079181246,90,67.213502,2.017033339,1.424881637,0.912753304,2.322219295
S3,playa,0.204119983,0.477121255,0.553883027,0.000867722,0.700703717,90,60,2.120573931,1.44870632,0.941511433,2.439332694
Wten,playa,0.113943352,0.477121255,0.36361198,0.000867722,2.822821645,90,71.56505118,1.923761961,1.444044796,0.939019776,2.231979027
